age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Non-binary,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Natural and applied sciences,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,White,35,Management,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,30,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,34,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Not at all,Not at all,"Yes, one dose",Positive,White,35,Natural and applied sciences,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,10,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",30,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Positive,White,25,Management,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,8,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,No,Positive,White,25,"education, law and social, community, and government services",Hybrid,"$90,000 or more",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Manufacturing and utilities,Do Not Work from Home,"$60,000 to $89,999",Some College
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,40,Management,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Non-binary,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,"art, culture, recreation and sport",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Negative,Other,12,Sales and service,Do Not Work from Home,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,20,Business,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Health,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,No,Positive,"African, Caribbean, or Black ",40,"art, culture, recreation and sport",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,40,Business,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,45,Business,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,20,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,6,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
40 to 49 years-old,Man,Very Closely,Very Closely,No,Positive,White,36,Management,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Non-binary,Very Closely,Very Closely,"Yes, one dose",Negative,Indigenous,40,"art, culture, recreation and sport",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Negative,White,20,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,"African, Caribbean, or Black ",15,Natural and applied sciences,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,Asian,15,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Indigenous,8,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,35,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",38,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,5,Management,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Positive,White,16,"Trades, transport and equipment operators",Work from Home Only,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Not at all,Not at all,No,Positive,White,45,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",35,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",30,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",35,Business,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",30,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,No,Positive,White,10,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",30,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,4,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,20,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,5,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,"Trades, transport and equipment operators",Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Somewhat,"Yes, one dose",Positive,White,10,Business,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Positive,White,35,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,35,Sales and service,Hybrid,"$90,000 or more",Some College
60 years and older,Man,Very Closely,Somewhat,"Yes, one dose",Negative,White,4,Sales and service,Do Not Work from Home,"$90,000 or more",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,4,Management,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Not at all,Somewhat,"Yes, one dose",Positive,White,30,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Negative,White,20,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,35,Sales and service,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,28,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,32,Management,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,15,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,12,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,9,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,20,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Some College
60 years and older,Non-binary,Somewhat,Very Closely,"Yes, one dose",Positive,Other,40,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Not at all,Very Closely,"Yes, two doses",Positive,White,12,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,15,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,56,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,8,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Not at all,Somewhat,"Yes, one dose",Negative,White,35,"Trades, transport and equipment operators",Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,6,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Some College
60 years and older,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,7,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",35,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,37.5,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
60 years and older,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,35,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Other,40,"Trades, transport and equipment operators",Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,33,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Not at all,Not at all,No,Positive,White,25,Natural resources and agriculture,Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Some College
60 years and older,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,42,Natural resources and agriculture,Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
50 to 59 years-old,Woman,Not at all,Not at all,No,Positive,Other,40,Sales and service,Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,"African, Caribbean, or Black ",15,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Negative,White,8,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,White,8,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,30,Sales and service,Do Not Work from Home,"$90,000 or more",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Negative,"African, Caribbean, or Black ",24,Business,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,No,Positive,White,60,Health,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,35,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,Health,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,35,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,Middle Eastern,36,Sales and service,Do Not Work from Home,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,20,Business,Hybrid,"$90,000 or more",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,58,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,15,Health,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,17.5,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,2,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Negative,White,30,Business,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,8,Manufacturing and utilities,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",3,Management,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",3,Management,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Not at all,Somewhat,"Yes, two doses",Positive,Indigenous,8,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,12,"education, law and social, community, and government services",Hybrid,"$90,000 or more",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",36,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,4,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,60,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,9,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,9,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,30,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,35,Management,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,3,Business,Hybrid,"$60,000 to $89,999",Some College
60 years and older,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,60,Natural resources and agriculture,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,Middle Eastern,8,Health,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Business,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,44,Health,Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,24,Health,Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",5,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",35,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,10,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Negative,White,48,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,6,Business,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",38,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,7,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,40,Business,Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",4,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,8,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,8,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Middle Eastern,3,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Business,Hybrid,"Less than $30,000",Some College
60 years and older,Man,Somewhat,Not at all,No,Negative,White,20,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,50,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Woman,Not at all,Not at all,No,Negative,White,20,"education, law and social, community, and government services",Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,5,Manufacturing and utilities,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Woman,Not at all,Somewhat,No,Positive,White,10,"education, law and social, community, and government services",Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,40,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
30 to 39 years-old,Non-binary,Not at all,Not at all,No,Positive,White,35,Business,Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Non-binary,Very Closely,Very Closely,"Yes, one dose",Positive,White,25,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",10,Management,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,"Trades, transport and equipment operators",Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,No,Negative,White,32,Sales and service,Do Not Work from Home,"$60,000 to $89,999",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,3,"Trades, transport and equipment operators",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,20,Sales and service,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Not at all,Somewhat,"Yes, two doses",Negative,White,40,Health,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,6,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,8,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
